LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C225489,A2541WR-3P,CJT(Changjiang Connectors),,"Through Hole,Right Angle,P=2.54mm","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole, Right Angle -40℃~+105℃",YES,10,0.0553,0.55,,,-
C52016391,HX PH254-01-03-Z-L11.5 pcb pin header,hanxia,,"Through Hole,P=2.54mm","3P 1x3P Gold Brass -40℃~+105℃ Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins RoHS",YES,20,0.0106,0.21,,,-
C2171428,C0805C104J4RACTU,KEMET,,0805,16V 100nF X7R ±5% 0805 Ceramic Capacitors RoHS,YES,15,0.138,2.07,,,-
C129636,C0805C102J5RACAUTO,KEMET,,0805,1nF ±5% 50V Ceramic Capacitor X7R 0805,YES,20,0.023,0.46,,,-
C17561,0805W8F220JT5E,UNI-ROYAL,,0805,22Ω ±1% 125mW 0805 Thick Film Resistor,YES,100,0.002,0.20,,,-
C2933472,FRC0805F5902TS,FOJAN,,0805,59kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0018,0.18,,,-
C96346,RC0805FR-07100KL,YAGEO,,0805,125mW 100kΩ 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0022,0.22,,,-
C413339,ERJ6ENF1004V,PANASONIC,,0805,125mW 1MΩ ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,50,0.006,0.30,,,-
C2907266,FRC0805F4302TS,FOJAN,,0805,43kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0018,0.18,,,-
C193990,ERJ6ENF1000V,PANASONIC,,0805,100Ω ±1% 125mW 0805 Thick Film Resistor AEC-Q200,YES,100,0.006,0.60,,,-
C520051,CC0805JKX7R7BB105,YAGEO,,0805,1uF ±5% 16V Ceramic Capacitor X7R 0805,YES,50,0.0186,0.93,,,-
C541502,CC0805JKNPO9BN822,YAGEO,,0805,8.2nF ±5% 50V Ceramic Capacitor NP0 0805,YES,10,0.0595,0.60,,,-
C113853,CC0805KRX7R7BB224,YAGEO,,0805,220nF ±10% 16V Ceramic Capacitor X7R 0805,YES,50,0.0121,0.61,,,-
C2862562,ADS131M04IPWR,TI,,TSSOP-20,SPI 2.7V~3.6V -40℃~+125℃ 64kHz TSSOP-20 Analog to Digital Converters (ADC) RoHS,YES,2,2.9932,5.99,,,-
C709357,KH-TYPE-C-16P,kinghelm,,SMD,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",YES,5,0.0695,0.35,,,-
C96345,RC0805JR-070RL,YAGEO,,0805,125mW 0Ω 150V Thick Film Resistor ±5% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0019,0.19,,,-
C141700,RC0805FR-07820KL,YAGEO,,0805,125mW 820kΩ 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0022,0.22,,,-
C316809,RK73B2ATTD184J,KOA,,0805,250mW 180kΩ 150V ±200ppm/℃ Thick Film Resistor ±5% 0805 Chip Resistor - Surface Mount RoHS,YES,50,0.0056,0.28,,,-
C180849,ERJ6GEYJ103V,PANASONIC,,0805,10kΩ ±5% 125mW 0805 Thick Film Resistor AEC-Q200,YES,100,0.0069,0.69,,,-
C869519,RT0805FRE075K1L,YAGEO,,0805,125mW 5.1kΩ 150V ±50ppm/℃ Thin Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,50,0.0151,0.76,,,-
C9386,"74HC4051D,653",Nexperia,,SOIC-16,"80Ω 1 8:1 SOIC-16 Analog Switches, Multiplexers, Demultiplexers RoHS",YES,5,0.2639,1.32,,,-
C2878865,TLV9001SIDCKR,TI,,SC-70-6,"400uV 5pA 2V/us 95dB 1MHz 1 Rail-to-Rail Input, Rail-to-Rail Output SC-70-6 Amplifiers RoHS",YES,5,0.218,1.09,,,-
C6186,AMS1117-3.3,Advanced Monolithic Systems,,SOT-223,"Positive Fixed 3.3V SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,5,0.1665,0.83,,,-
C202416,SKHMQKE010,ALPSALPINE,,"SMD-4P,6.5x6.2mm",Tactile Switch SPST 3.1mm 6.5mm x 6.2mm Surface Mount,YES,5,0.2219,1.11,,,-
C3013946,ESP32-S3-WROOM-1U-N16R8,ESPRESSIF,,"SMD,19.2x18mm","2.4GHz ESP32-S3R8 -98.2dBm SMD,19.2x18mm RF Transceiver Modules and Modems RoHS",YES,2,5.326,10.65,,,-
C43216,AD8232ACPZ-R7,ADI,,LFCSP-20(4x4),LFCSP-20(4x4) Specialized ICs RoHS,YES,8,3.3878,27.10,,,-
